!001fALKP99999.99U/L     60D3
!002fGGT 99999.99U/L     60AE
!003fLDH 99999.99U/L     60A5
!004fCK  99999.99U/L     607C
!005h0026E6
!000a020027E700 C105226941202               12 8               FF01.000  44
!001fALKP  119.  U/L     125C
!002fGGT    21.  U/L     021E
!003fLDH   149.  U/L     1231
!004fCK     49.  U/L     02F6
!005h0027E7
!000a020028E700 C105329941202               12 9               FF01.000  4A
!001fALKP  104.  U/L     1256
!002fGGT    52.  U/L     1223
!003fLDH    83.  U/L     021D
!004fCK     40.  U/L     53F3
!005h0028E8
!000a020029E700 C105431941202               1210               FF01.000  4D
!001fALKP   57.  U/L     024C
!002fGGT    17.  U/L     0223
!003fLDH    70.  U/L     0219
!004fCK     48.  U/L     02F5
!005h0029E9
!000a020030E700 C110644941202               12 1               FF01.000  37
!001fCa  99999.99mmol/L  608F
!002fNa+ 99999.99mmol/L  60A6
!003fPHOS99999.99mmol/L  60E7
!004fK+  99999.99mmol/L  6064
!005fCl- 99999.99mmol/L  60AB
!006fURIC    1.  umol/L  0249
!007h0030E3
!000a020031E700 C111256941202               13 1               FF01.000  39
!001fNa+ 99999.99mmol/L  60A5
!002fK+  99999.99mmol/L  6062
!003fCl- 99999.99mmol/L  60A9
!004fCa  99999.99mmol/L  6092
!005fPHOS99999.99mmol/L  60E9
!006h0031E3
!000a020032E700 C112801941202               13 3               FF01.000  39
!001fNa+   139.  mmol/L  002D
!002fK+      4.15mmol/L  00E7
!003fCl-    93.  mmol/L  2224
!004fCa      3.12mmol/L  1216
!005fPHOS    1.07mmol/L  006C
!006h0032E4
!000a020033E700 C112843941202               13 4               FF01.000  41
!001fNa+   153.  mmol/L  122C
!002fK+      4.18mmol/L  00EA
!003fCl-   100.  mmol/L  0025
!004fCa      2.96mmol/L  1221
!005fPHOS    1.04mmol/L  0069
!006h0033E5
!000a020034E700 C112920941202               13 5               FF01.000  3F
!001fNa+   165.  mmol/L  122F
!002fK+      5.64mmol/L  12EF
!003fCl-   102.  mmol/L  0027
!004fCa      3.10mmol/L  1214
!005fPHOS    1.20mmol/L  0067
!006h0034E6
!000a020035E700 C112958941202               13 6               FF01.000  4C
!001fNa+   149.  mmol/L  002E
!002fK+      4.43mmol/L  00E8
!003fCl-   107.  mmol/L  002C
!004fCa      3.13mmol/L  1217
!005fPHOS    1.01mmol/L  0066
!006h0035E7
!000a020036E700 C113036941202               1310               FF01.000  4C
!001fAMYL   42.  U/L     004F
!002h0036E4
!000a020037E700 C113113941202               11 1               FF01.000  37
!001fAST    50.  U/L   
